"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Diagnose LogicalModel FHIR Mapping","Mapping: RIM Mapping"
"Diagnose","Diagnose","","","",0,*,"","","","null {[]} {[]}
","Das Basismodul Diagnosen enthält Diagnosen als Behandlungsbegründungen und abrechnungsbasiertes Gliederungsmerkmal, z.B. als Hauptdiagnose, Nebendiagnose, Quartalsdiagnose etc.","Logische Repräsentation des Basismoduls Diagnose","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Diagnose.id","Diagnose.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.extension","Diagnose.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.ICD10GMDiagnoseKodiert","Diagnose.ICD10GMDiagnoseKodiert","","","",0,1,"","","","BackboneElement {[]} {[]}
","Im Bereich der administrativen und statistischen Auswertung wird die Diagnose mit Hilfe von Codiersystemen verschlüsselt. So wird z.B. bei der Abrechnung nach §301 und §295 SGB V die Codierung von Diagnosen mittels ICD-10-GM gesetzlich vorgeschrieben. Weitere Codiersysteme sind z.B. die Alpha-ID oder SNOMED CT. Die Kodierung einer Diagnose mittels verschiedener Codesysteme sollte möglich sein.","Im Bereich der administrativen und statistischen Auswertung wird die Diagnose mit Hilfe von Codiersystemen verschlüsselt. So wird z.B. bei der Abrechnung nach §301 und §295 SGB V die Codierung von Diagnosen mittels ICD-10-GM gesetzlich vorgeschrieben. Weitere Codiersysteme sind z.B. die Alpha-ID oder SNOMED CT. Die Kodierung einer Diagnose mittels verschiedener Codesysteme sollte möglich sein.","","","","","","","","","",,,,,"",,,,"Diagnose.ICD10GMDiagnoseKodiert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/icd-10-gm')"
"Diagnose.ICD10GMDiagnoseKodiert.id","Diagnose.ICD10GMDiagnoseKodiert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.ICD10GMDiagnoseKodiert.extension","Diagnose.ICD10GMDiagnoseKodiert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.ICD10GMDiagnoseKodiert.modifierExtension","Diagnose.ICD10GMDiagnoseKodiert.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.ICD10GMDiagnoseKodiert.Diagnosecode","Diagnose.ICD10GMDiagnoseKodiert.Diagnosecode","","","",1,1,"","","","code {[]} {[]}
","Diagnosecode ICD-10-GM","Code ohne Zusatzkennzeichen","","","","","","","","","",,,,,"",,,,"Diagnose.ICD10GMDiagnoseKodiert.Diagnosecode",1,1,"","","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/icd-10-gm').code"
"Diagnose.ICD10GMDiagnoseKodiert.Mehrfachkodierungskennzeichen","Diagnose.ICD10GMDiagnoseKodiert.Mehrfachkodierungskennzeichen","","","",0,1,"","","","code {[]} {[]}
","Mehrfachkodierungskennzeichen","Mehrfachkodierungskennzeichen Kreuz-Stern-System und Ausrufezeichen (""*"", ""†"", ""!"").","","","","","","","","","",,,,,"",,,,"Diagnose.ICD10GMDiagnoseKodiert.Mehrfachkodierungskennzeichen",0,1,"","","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/icd-10-gm').extension('http://fhir.de/StructureDefinition/icd-10-gm-mehrfachcodierungs-kennzeichen').valueCoding.code"
"Diagnose.ICD10GMDiagnoseKodiert.Diagnosesicherheit","Diagnose.ICD10GMDiagnoseKodiert.Diagnosesicherheit","","","",0,1,"","","","code {[]} {[]}
","Zusatzkennzeichen für die Diagnosensicherhe","Die Diagnosensicherheit, d.h. wie sicher die Diagnose im Einzelfall zu werten ist, kann unterschiedlich angegeben werden. Für Abrechnungszwecke in der ambulanten Versorgung muss obligatorisch ein Zusatzkennzeichen für die Diagnosensicherheit (A, G, V oder Z) angegeben werden, d. h. die Angabe ist obligatorisch. In der stationären Versorgung sind diese Zusatzkennzeichen für die Angabe der Diagnosensicherheit für Abrechnungszwecke dagegen nicht zulässig.","","","","","","","","","",,,,,"",,,,"Diagnose.ICD10GMDiagnoseKodiert.Diagnosesicherheit",0,1,"","","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/icd-10-gm').extension('http://fhir.de/StructureDefinition/icd-10-gm-diagnosesicherheit').valueCoding.code"
"Diagnose.ICD10GMDiagnoseKodiert.Seitenlokalisation","Diagnose.ICD10GMDiagnoseKodiert.Seitenlokalisation","","","",0,1,"","","","code {[]} {[]}
","Zusatzkennzeichen Seite einer Erkrankung","Zusatzkennzeichen der ICD-10 für die Seitigkeit einer Diagnose (R, L, B)","","","","","","","","","",,,,,"",,,,"Diagnose.ICD10GMDiagnoseKodiert.Seitenlokalisation",0,1,"","","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/icd-10-gm').extension('http://fhir.de/StructureDefinition/seitenlokalisation').valueCoding.code"
"Diagnose.ALPHAIDKodiert","Diagnose.ALPHAIDKodiert","","","",0,1,"","","","BackboneElement {[]} {[]}
","Kodierung einer Diagnose mit Alpha-ID","Kodierung einer Diagnose mit Alpha-ID","","","","","","","","","",,,,,"",,,,"Diagnose.ALPHAIDKodiert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/alpha-id')"
"Diagnose.ALPHAIDKodiert.id","Diagnose.ALPHAIDKodiert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.ALPHAIDKodiert.extension","Diagnose.ALPHAIDKodiert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.ALPHAIDKodiert.modifierExtension","Diagnose.ALPHAIDKodiert.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.ALPHAIDKodiert.Diagnosecode","Diagnose.ALPHAIDKodiert.Diagnosecode","","","",1,1,"","","","code {[]} {[]}
","Alpha-ID-Code","Alpha-ID-Code","","","","","","","","","",,,,,"",,,,"Diagnose.ALPHAIDKodiert.Diagnosecode",1,1,"","","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/alpha-id').code"
"Diagnose.ORPHANETDiagnoseKodiert","Diagnose.ORPHANETDiagnoseKodiert","","","",0,1,"","","","BackboneElement {[]} {[]}
","Für die Kodierung von Seltenen Krankheiten ist die Orpha-Kennnummer erforderlich.","Für die Kodierung von Seltenen Krankheiten ist die Orpha-Kennnummer erforderlich.","","","","","","","","","",,,,,"",,,,"Diagnose.ORPHANETDiagnoseKodiert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.code.coding.where(system='http://www.orpha.net')"
"Diagnose.ORPHANETDiagnoseKodiert.id","Diagnose.ORPHANETDiagnoseKodiert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.ORPHANETDiagnoseKodiert.extension","Diagnose.ORPHANETDiagnoseKodiert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.ORPHANETDiagnoseKodiert.modifierExtension","Diagnose.ORPHANETDiagnoseKodiert.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.ORPHANETDiagnoseKodiert.Diagnosecode","Diagnose.ORPHANETDiagnoseKodiert.Diagnosecode","","","",1,1,"","","","code {[]} {[]}
","Orpha-Kennnummer","Orpha-Kennnummer","","","","","","","","","",,,,,"",,,,"Diagnose.ORPHANETDiagnoseKodiert.Diagnosecode",1,1,"","","Condition.code.coding.where(system='http://www.orpha.net').code"
"Diagnose.SNOMEDDiagnoseKodiert","Diagnose.SNOMEDDiagnoseKodiert","","","",0,1,"","","","BackboneElement {[]} {[]}
","Ermöglicht die Kodierung einer Diagnose mit SNOMED-CT","Ermöglicht die Kodierung einer Diagnose mit SNOMED-CT","","","","","","","","","",,,,,"",,,,"Diagnose.SNOMEDDiagnoseKodiert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Condition.code.coding.where(system='http://snomed.info/sct')"
"Diagnose.SNOMEDDiagnoseKodiert.id","Diagnose.SNOMEDDiagnoseKodiert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.SNOMEDDiagnoseKodiert.extension","Diagnose.SNOMEDDiagnoseKodiert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
